Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.5022222222222222
Pengujian Ke- 2,3,0.3,0.2,0.4577777777777778
Pengujian Ke- 3,3,0.4,0.1,0.5555555555555556
Pengujian Ke- 4,3,0.4,0.2,0.5377777777777778
Pengujian Ke- 5,4,0.3,0.1,0.6933333333333334
Pengujian Ke- 6,4,0.3,0.2,0.4955555555555556
Pengujian Ke- 7,4,0.4,0.1,0.6244444444444445
Pengujian Ke- 8,4,0.4,0.2,0.7288888888888889
Pengujian Ke- 9,5,0.3,0.1,0.5644444444444444
Pengujian Ke- 10,5,0.3,0.2,0.6
Pengujian Ke- 11,5,0.4,0.1,0.5222222222222223
Pengujian Ke- 12,5,0.4,0.2,0.7288888888888889
